Date,State,New_Cases,Deaths,Recovered,Total_Tests,Vaccine_Dose_1,Vaccine_Dose_2,Positivity_Rate(%),Active_Cases,Population_Millions,Cumulative_Cases,Cumulative_Deaths,Cumulative_Recovered,Vaccination_Coverage_Dose1(%),Vaccination_Coverage_Dose2(%),Tests_per_Million,Case_Fatality_Rate(%),Recovery_Rate(%)
2020-03-16,Assam,1232,11,1229,15254,2721,693,8.08,0,36.0,55797,439,55449,7.56,1.92,0.4237222222222222,0.79,99.38
2020-03-17,Assam,1077,15,1076,13697,2593,1137,7.86,0,36.0,56874,454,56525,7.2,3.16,0.3804722222222222,0.8,99.39
2020-03-18,Assam,605,6,602,7634,1255,145,7.93,0,36.0,57479,460,57127,3.49,0.4,0.21205555555555555,0.8,99.39
2020-03-19,Assam,1043,13,1035,13513,3864,2749,7.72,0,36.0,58522,473,58162,10.73,7.64,0.3753611111111111,0.81,99.38
2020-03-20,Assam,167,1,166,2453,720,266,6.81,0,36.0,58689,474,58328,2.0,0.74,0.06813888888888889,0.81,99.38
2020-03-21,Assam,426,5,419,4949,2064,852,8.61,2,36.0,59115,479,58747,5.73,2.37,0.13747222222222222,0.81,99.38
2020-03-22,Assam,504,3,500,6001,740,394,8.4,1,36.0,59619,482,59247,2.06,1.09,0.16669444444444445,0.81,99.38
2020-03-23,Assam,325,3,323,3692,2986,1413,8.8,0,36.0,59944,485,59570,8.29,3.92,0.10255555555555555,0.81,99.38
2020-03-24,Assam,216,1,209,2633,1011,345,8.2,6,36.0,60160,486,59779,2.81,0.96,0.07313888888888889,0.81,99.37
2020-03-25,Assam,566,4,564,6893,2136,2122,8.21,0,36.0,60726,490,60343,5.93,5.89,0.1914722222222222,0.81,99.37
2020-03-26,Assam,299,1,293,3887,4663,2198,7.69,5,36.0,61025,491,60636,12.95,6.11,0.10797222222222222,0.8,99.36
2020-03-27,Assam,541,3,541,6327,2978,874,8.55,0,36.0,61566,494,61177,8.27,2.43,0.17575,0.8,99.37
2020-03-28,Assam,926,8,926,11574,2391,2368,8.0,0,36.0,62492,502,62103,6.64,6.58,0.3215,0.8,99.38
2020-03-29,Assam,228,1,222,2623,4688,3478,8.69,5,36.0,62720,503,62325,13.02,9.66,0.07286111111111111,0.8,99.37
2020-03-30,Assam,94,0,94,1206,2608,904,7.79,0,36.0,62814,503,62419,7.24,2.51,0.0335,0.8,99.37
2020-03-31,Assam,1571,9,1562,19844,2605,1992,7.92,0,36.0,64385,512,63981,7.24,5.53,0.5512222222222222,0.8,99.37
2020-04-01,Assam,802,7,793,10192,2017,76,7.87,2,36.0,65187,519,64774,5.6,0.21,0.2831111111111111,0.8,99.37
2020-04-02,Assam,991,11,983,12216,3082,292,8.11,0,36.0,66178,530,65757,8.56,0.81,0.3393333333333333,0.8,99.36
2020-04-03,Assam,911,12,911,11187,3736,3572,8.14,0,36.0,67089,542,66668,10.38,9.92,0.31075,0.81,99.37
2020-04-04,Assam,1044,13,1036,12809,3933,623,8.15,0,36.0,68133,555,67704,10.92,1.73,0.35580555555555554,0.81,99.37
2020-04-05,Assam,1389,13,1381,17282,1185,530,8.04,0,36.0,69522,568,69085,3.29,1.47,0.48005555555555557,0.82,99.37
2020-04-06,Assam,1076,6,1073,13040,1591,1377,8.25,0,36.0,70598,574,70158,4.42,3.82,0.3622222222222222,0.81,99.38
2020-04-07,Assam,224,3,220,2969,2362,2020,7.54,1,36.0,70822,577,70378,6.56,5.61,0.08247222222222222,0.81,99.37
2020-04-08,Assam,230,2,228,3191,3532,746,7.21,0,36.0,71052,579,70606,9.81,2.07,0.08863888888888889,0.81,99.37
2020-04-09,Assam,802,6,800,10087,4366,1595,7.95,0,36.0,71854,585,71406,12.13,4.43,0.28019444444444447,0.81,99.38
2020-04-10,Assam,998,11,993,12460,4272,1160,8.01,0,36.0,72852,596,72399,11.87,3.22,0.3461111111111111,0.82,99.38
2020-04-11,Assam,1217,14,1213,15214,2603,237,8.0,0,36.0,74069,610,73612,7.23,0.66,0.4226111111111111,0.82,99.38
2020-04-12,Assam,798,11,792,9310,1633,1477,8.57,0,36.0,74867,621,74404,4.54,4.1,0.2586111111111111,0.83,99.38
2020-04-13,Assam,776,8,770,9432,4501,2021,8.23,0,36.0,75643,629,75174,12.5,5.61,0.262,0.83,99.38
2020-04-14,Assam,440,2,435,5571,1480,453,7.9,3,36.0,76083,631,75609,4.11,1.26,0.15475,0.83,99.38
2020-04-15,Assam,168,2,161,1988,257,193,8.45,5,36.0,76251,633,75770,0.71,0.54,0.05522222222222222,0.83,99.37
2020-04-16,Assam,1605,21,1605,19698,669,162,8.15,0,36.0,77856,654,77375,1.86,0.45,0.5471666666666667,0.84,99.38
2020-04-17,Assam,715,9,709,8519,1563,1431,8.39,0,36.0,78571,663,78084,4.34,3.98,0.2366388888888889,0.84,99.38
2020-04-18,Assam,1002,5,994,12072,1776,914,8.3,3,36.0,79573,668,79078,4.93,2.54,0.3353333333333333,0.84,99.38
2020-04-19,Assam,149,2,149,2230,3915,1029,6.68,0,36.0,79722,670,79227,10.88,2.86,0.06194444444444445,0.84,99.38
2020-04-20,Assam,138,1,135,1778,4258,3254,7.76,2,36.0,79860,671,79362,11.83,9.04,0.04938888888888889,0.84,99.38
2020-04-21,Assam,523,4,522,6576,3481,2485,7.95,0,36.0,80383,675,79884,9.67,6.9,0.18266666666666667,0.84,99.38
2020-04-22,Assam,736,7,727,9531,1030,611,7.72,2,36.0,81119,682,80611,2.86,1.7,0.26475,0.84,99.37
2020-04-23,Assam,1227,14,1224,15478,2675,101,7.93,0,36.0,82346,696,81835,7.43,0.28,0.42994444444444446,0.85,99.38
2020-04-24,Assam,73,0,68,1052,1481,399,6.94,5,36.0,82419,696,81903,4.11,1.11,0.029222222222222222,0.84,99.37
2020-04-25,Assam,317,2,308,3753,668,596,8.45,7,36.0,82736,698,82211,1.86,1.66,0.10425,0.84,99.37
2020-04-26,Assam,561,5,557,6880,1025,297,8.15,0,36.0,83297,703,82768,2.85,0.82,0.19111111111111112,0.84,99.36
2020-04-27,Assam,103,1,94,1769,4524,1914,5.82,8,36.0,83400,704,82862,12.57,5.32,0.04913888888888889,0.84,99.35
2020-04-28,Assam,887,4,886,10769,4608,58,8.24,0,36.0,84287,708,83748,12.8,0.16,0.2991388888888889,0.84,99.36
2020-04-29,Assam,1406,5,1403,17381,1159,512,8.09,0,36.0,85693,713,85151,3.22,1.42,0.48280555555555554,0.83,99.37
2020-04-30,Assam,1590,13,1590,19601,1366,1087,8.11,0,36.0,87283,726,86741,3.79,3.02,0.5444722222222222,0.83,99.38
2020-05-01,Assam,160,0,159,2428,83,79,6.59,1,36.0,87443,726,86900,0.23,0.22,0.06744444444444445,0.83,99.38
2020-05-02,Assam,481,3,478,5709,1958,158,8.43,0,36.0,87924,729,87378,5.44,0.44,0.15858333333333333,0.83,99.38
2020-05-03,Assam,1354,14,1348,16980,4250,4085,7.97,0,36.0,89278,743,88726,11.81,11.35,0.4716666666666667,0.83,99.38
2020-05-04,Assam,785,9,779,9734,176,151,8.06,0,36.0,90063,752,89505,0.49,0.42,0.2703888888888889,0.83,99.38
2020-05-05,Assam,204,3,196,2302,436,275,8.86,5,36.0,90267,755,89701,1.21,0.76,0.06394444444444444,0.84,99.37
2020-05-06,Assam,41,0,33,582,4787,3056,7.04,8,36.0,90308,755,89734,13.3,8.49,0.016166666666666666,0.84,99.36
2020-05-07,Assam,1254,8,1254,15867,3189,1993,7.9,0,36.0,91562,763,90988,8.86,5.54,0.44075,0.83,99.37
2020-05-08,Assam,449,2,440,5922,3693,2772,7.58,7,36.0,92011,765,91428,10.26,7.7,0.1645,0.83,99.37
2020-05-09,Assam,799,3,791,10040,3617,1585,7.96,5,36.0,92810,768,92219,10.05,4.4,0.2788888888888889,0.83,99.36
2020-05-10,Assam,168,2,163,2179,836,105,7.71,3,36.0,92978,770,92382,2.32,0.29,0.06052777777777778,0.83,99.36
2020-05-11,Assam,1601,9,1596,19527,3956,2941,8.2,0,36.0,94579,779,93978,10.99,8.17,0.5424166666666667,0.82,99.36
2020-05-12,Assam,228,2,221,2995,395,314,7.61,5,36.0,94807,781,94199,1.1,0.87,0.08319444444444445,0.82,99.36
2020-05-13,Assam,825,11,818,10924,748,661,7.55,0,36.0,95632,792,95017,2.08,1.84,0.30344444444444446,0.83,99.36
2020-05-14,Assam,1015,7,1006,12761,2465,43,7.95,2,36.0,96647,799,96023,6.85,0.12,0.35447222222222224,0.83,99.35
2020-05-15,Assam,1547,21,1546,19371,174,13,7.99,0,36.0,98194,820,97569,0.48,0.04,0.5380833333333334,0.84,99.36
2020-05-16,Assam,1228,7,1228,15471,1313,207,7.94,0,36.0,99422,827,98797,3.65,0.57,0.42975,0.83,99.37
2020-05-17,Assam,968,8,967,12004,3790,3367,8.06,0,36.0,100390,835,99764,10.53,9.35,0.33344444444444443,0.83,99.38
2020-05-18,Assam,1479,22,1471,18425,4443,2931,8.03,0,36.0,101869,857,101235,12.34,8.14,0.5118055555555555,0.84,99.38
2020-05-19,Assam,179,1,176,1974,2896,366,9.07,2,36.0,102048,858,101411,8.04,1.02,0.05483333333333333,0.84,99.38
2020-05-20,Assam,894,11,889,11080,287,245,8.07,0,36.0,102942,869,102300,0.8,0.68,0.30777777777777776,0.84,99.38
2020-05-21,Assam,291,1,286,3968,1694,1251,7.33,4,36.0,103233,870,102586,4.71,3.48,0.11022222222222222,0.84,99.37
2020-05-22,Assam,963,6,962,12396,4561,692,7.77,0,36.0,104196,876,103548,12.67,1.92,0.3443333333333333,0.84,99.38
2020-05-23,Assam,487,6,484,6166,2015,518,7.9,0,36.0,104683,882,104032,5.6,1.44,0.17127777777777778,0.84,99.38
2020-05-24,Assam,236,1,236,3257,212,121,7.25,0,36.0,104919,883,104268,0.59,0.34,0.09047222222222222,0.84,99.38
2020-05-25,Assam,446,3,438,5544,2398,667,8.04,5,36.0,105365,886,104706,6.66,1.85,0.154,0.84,99.37
2020-05-26,Assam,855,6,846,11146,3768,2794,7.67,3,36.0,106220,892,105552,10.47,7.76,0.3096111111111111,0.84,99.37
2020-05-27,Assam,1386,10,1378,17171,1492,177,8.07,0,36.0,107606,902,106930,4.14,0.49,0.47697222222222224,0.84,99.37
2020-05-28,Assam,1555,23,1551,19443,1136,371,8.0,0,36.0,109161,925,108481,3.16,1.03,0.5400833333333334,0.85,99.38
2020-05-29,Assam,875,11,873,10541,4475,2409,8.3,0,36.0,110036,936,109354,12.43,6.69,0.29280555555555554,0.85,99.38
2020-05-30,Assam,152,1,146,1523,3668,2525,9.98,5,36.0,110188,937,109500,10.19,7.01,0.042305555555555555,0.85,99.38
2020-05-31,Assam,104,0,99,1451,3488,2985,7.17,5,36.0,110292,937,109599,9.69,8.29,0.04030555555555555,0.85,99.37
2020-06-01,Assam,692,9,691,8874,20,6,7.8,0,36.0,110984,946,110290,0.06,0.02,0.2465,0.85,99.37
2020-06-02,Assam,1401,9,1398,17315,4775,1626,8.09,0,36.0,112385,955,111688,13.26,4.52,0.48097222222222225,0.85,99.38
2020-06-03,Assam,364,3,359,4782,4725,925,7.61,2,36.0,112749,958,112047,13.12,2.57,0.13283333333333333,0.85,99.38
2020-06-04,Assam,681,7,676,8653,2135,405,7.87,0,36.0,113430,965,112723,5.93,1.12,0.2403611111111111,0.85,99.38
2020-06-05,Assam,668,3,668,8587,4671,237,7.78,0,36.0,114098,968,113391,12.98,0.66,0.23852777777777778,0.85,99.38
2020-06-06,Assam,1160,9,1158,14456,1284,915,8.02,0,36.0,115258,977,114549,3.57,2.54,0.40155555555555555,0.85,99.38
2020-06-07,Assam,1577,5,1572,19567,1319,301,8.06,0,36.0,116835,982,116121,3.66,0.84,0.5435277777777778,0.84,99.39
2020-06-08,Assam,824,3,819,11012,303,222,7.48,2,36.0,117659,985,116940,0.84,0.62,0.3058888888888889,0.84,99.39
2020-06-09,Assam,1154,13,1152,14628,1198,367,7.89,0,36.0,118813,998,118092,3.33,1.02,0.4063333333333333,0.84,99.39
2020-06-10,Assam,847,7,847,10651,2001,1777,7.95,0,36.0,119660,1005,118939,5.56,4.94,0.29586111111111113,0.84,99.4
2020-06-11,Assam,75,0,71,900,4999,4280,8.33,4,36.0,119735,1005,119010,13.89,11.89,0.025,0.84,99.39
2020-06-12,Assam,1250,11,1247,15460,2166,1547,8.09,0,36.0,120985,1016,120257,6.02,4.3,0.42944444444444446,0.84,99.4
2020-06-13,Assam,1372,10,1369,17226,3886,2348,7.96,0,36.0,122357,1026,121626,10.79,6.52,0.4785,0.84,99.4
2020-06-14,Assam,908,6,902,11130,2553,2233,8.16,0,36.0,123265,1032,122528,7.09,6.2,0.30916666666666665,0.84,99.4
2020-06-15,Assam,1176,4,1170,14642,1648,968,8.03,2,36.0,124441,1036,123698,4.58,2.69,0.4067222222222222,0.83,99.4
2020-06-16,Assam,46,0,40,841,1407,203,5.47,6,36.0,124487,1036,123738,3.91,0.56,0.02336111111111111,0.83,99.4
2020-06-17,Assam,1438,20,1436,17683,4133,2478,8.13,0,36.0,125925,1056,125174,11.48,6.88,0.49119444444444443,0.84,99.4
2020-06-18,Assam,275,3,267,3478,3060,1511,7.91,5,36.0,126200,1059,125441,8.5,4.2,0.0966111111111111,0.84,99.4
2020-06-19,Assam,1471,4,1466,18186,4843,913,8.09,1,36.0,127671,1063,126907,13.45,2.54,0.5051666666666667,0.83,99.4
2020-06-20,Assam,535,1,529,6847,4173,3730,7.81,5,36.0,128206,1064,127436,11.59,10.36,0.19019444444444444,0.83,99.4
2020-06-21,Assam,273,3,265,3633,2717,712,7.51,5,36.0,128479,1067,127701,7.55,1.98,0.10091666666666667,0.83,99.39
2020-06-22,Assam,966,4,965,11391,2439,757,8.48,0,36.0,129445,1071,128666,6.78,2.1,0.3164166666666667,0.83,99.4
2020-06-23,Assam,1554,11,1549,19499,2996,186,7.97,0,36.0,130999,1082,130215,8.32,0.52,0.5416388888888889,0.83,99.4
2020-06-24,Assam,1572,7,1563,19614,1672,1611,8.01,2,36.0,132571,1089,131778,4.64,4.47,0.5448333333333333,0.82,99.4
2020-06-25,Assam,1445,9,1442,18068,3229,2847,8.0,0,36.0,134016,1098,133220,8.97,7.91,0.5018888888888889,0.82,99.41
2020-06-26,Assam,1597,12,1589,19905,4134,3748,8.02,0,36.0,135613,1110,134809,11.48,10.41,0.5529166666666666,0.82,99.41
2020-06-27,Assam,1583,13,1583,19853,3788,721,7.97,0,36.0,137196,1123,136392,10.52,2.0,0.5514722222222223,0.82,99.41
2020-06-28,Assam,528,7,523,6862,3810,1965,7.69,0,36.0,137724,1130,136915,10.58,5.46,0.19061111111111112,0.82,99.41
2020-06-29,Assam,1418,18,1418,17861,2663,942,7.94,0,36.0,139142,1148,138333,7.4,2.62,0.4961388888888889,0.83,99.42
2020-06-30,Assam,1381,19,1378,17574,1617,295,7.86,0,36.0,140523,1167,139711,4.49,0.82,0.4881666666666667,0.83,99.42
2020-07-01,Assam,1476,10,1469,18126,3961,2447,8.14,0,36.0,141999,1177,141180,11.0,6.8,0.5035,0.83,99.42
2020-07-02,Assam,1497,11,1496,18880,2900,1958,7.93,0,36.0,143496,1188,142676,8.06,5.44,0.5244444444444445,0.83,99.43
2020-07-03,Assam,1565,20,1560,19888,4330,2009,7.87,0,36.0,145061,1208,144236,12.03,5.58,0.5524444444444444,0.83,99.43
2020-07-04,Assam,1289,10,1280,16207,130,9,7.95,0,36.0,146350,1218,145516,0.36,0.02,0.45019444444444445,0.83,99.43
2020-07-05,Assam,840,3,833,10602,98,39,7.92,4,36.0,147190,1221,146349,0.27,0.11,0.2945,0.83,99.43
2020-07-06,Assam,1481,8,1472,18631,1984,1101,7.95,1,36.0,148671,1229,147821,5.51,3.06,0.5175277777777778,0.83,99.43
2020-07-07,Assam,632,4,631,8115,3380,2061,7.79,0,36.0,149303,1233,148452,9.39,5.72,0.22541666666666665,0.83,99.43
2020-07-08,Assam,237,2,231,3086,124,92,7.68,4,36.0,149540,1235,148683,0.34,0.26,0.08572222222222223,0.83,99.43
2020-07-09,Assam,765,5,761,9668,3739,418,7.91,0,36.0,150305,1240,149444,10.39,1.16,0.26855555555555555,0.82,99.43
2020-07-10,Assam,330,2,330,4224,3390,492,7.81,0,36.0,150635,1242,149774,9.42,1.37,0.11733333333333333,0.82,99.43
2020-07-11,Assam,264,3,261,3505,3342,180,7.53,0,36.0,150899,1245,150035,9.28,0.5,0.0973611111111111,0.83,99.43
2020-07-12,Assam,492,7,491,6141,3833,245,8.01,0,36.0,151391,1252,150526,10.65,0.68,0.17058333333333334,0.83,99.43
2020-07-13,Assam,542,1,539,6976,126,56,7.77,2,36.0,151933,1253,151065,0.35,0.16,0.19377777777777777,0.82,99.43
2020-07-14,Assam,872,10,871,10551,4453,2776,8.26,0,36.0,152805,1263,151936,12.37,7.71,0.2930833333333333,0.83,99.43
2020-07-15,Assam,177,1,172,2297,4819,639,7.71,4,36.0,152982,1264,152108,13.39,1.78,0.06380555555555556,0.83,99.43
2020-07-16,Assam,1209,13,1208,15084,1324,100,8.02,0,36.0,154191,1277,153316,3.68,0.28,0.419,0.83,99.43
2020-07-17,Assam,699,6,693,9110,3638,1724,7.67,0,36.0,154890,1283,154009,10.11,4.79,0.25305555555555553,0.83,99.43
2020-07-18,Assam,417,2,409,4674,3300,2616,8.92,6,36.0,155307,1285,154418,9.17,7.27,0.12983333333333333,0.83,99.43
2020-07-19,Assam,130,0,126,1577,2493,1869,8.24,4,36.0,155437,1285,154544,6.93,5.19,0.043805555555555556,0.83,99.43
2020-07-20,Assam,479,5,479,5665,1257,87,8.46,0,36.0,155916,1290,155023,3.49,0.24,0.15736111111111112,0.83,99.43
2020-07-21,Assam,208,0,200,2491,1896,1689,8.35,8,36.0,156124,1290,155223,5.27,4.69,0.06919444444444445,0.83,99.42
2020-07-22,Assam,1079,15,1073,13494,4005,1140,8.0,0,36.0,157203,1305,156296,11.12,3.17,0.37483333333333335,0.83,99.42
2020-07-23,Assam,1036,8,1036,12846,4656,552,8.06,0,36.0,158239,1313,157332,12.93,1.53,0.35683333333333334,0.83,99.43
2020-07-24,Assam,256,1,252,3366,137,77,7.61,3,36.0,158495,1314,157584,0.38,0.21,0.0935,0.83,99.43
2020-07-25,Assam,913,3,912,11263,3515,3017,8.11,0,36.0,159408,1317,158496,9.76,8.38,0.3128611111111111,0.83,99.43
2020-07-26,Assam,288,2,279,3410,2014,390,8.45,7,36.0,159696,1319,158775,5.59,1.08,0.09472222222222222,0.83,99.42
2020-07-27,Assam,571,6,569,6525,1310,1289,8.75,0,36.0,160267,1325,159344,3.64,3.58,0.18125,0.83,99.42
2020-07-28,Assam,220,1,218,2312,1805,1681,9.52,1,36.0,160487,1326,159562,5.01,4.67,0.06422222222222222,0.83,99.42
2020-07-29,Assam,271,1,263,3612,4323,855,7.5,7,36.0,160758,1327,159825,12.01,2.38,0.10033333333333333,0.83,99.42
2020-07-30,Assam,147,0,146,1960,4761,2378,7.5,1,36.0,160905,1327,159971,13.23,6.61,0.05444444444444444,0.82,99.42
2020-07-31,Assam,1029,9,1020,13190,472,133,7.8,0,36.0,161934,1336,160991,1.31,0.37,0.3663888888888889,0.83,99.42
2020-08-01,Assam,86,0,79,1661,88,82,5.18,7,36.0,162020,1336,161070,0.24,0.23,0.04613888888888889,0.82,99.41
2020-08-02,Assam,1491,11,1486,19209,1178,748,7.76,0,36.0,163511,1347,162556,3.27,2.08,0.5335833333333333,0.82,99.42
2020-08-03,Assam,1461,11,1453,18311,4116,62,7.98,0,36.0,164972,1358,164009,11.43,0.17,0.5086388888888889,0.82,99.42
2020-08-04,Assam,1531,22,1522,19195,52,9,7.98,0,36.0,166503,1380,165531,0.14,0.02,0.5331944444444444,0.83,99.42
2020-08-05,Assam,351,3,345,4689,843,699,7.49,3,36.0,166854,1383,165876,2.34,1.94,0.13025,0.83,99.41
2020-08-06,Assam,324,3,319,4148,4418,1541,7.81,2,36.0,167178,1386,166195,12.27,4.28,0.11522222222222223,0.83,99.41
2020-08-07,Assam,1018,8,1017,12682,4890,799,8.03,0,36.0,168196,1394,167212,13.58,2.22,0.3522777777777778,0.83,99.41
2020-08-08,Assam,1284,16,1276,15976,107,87,8.04,0,36.0,169480,1410,168488,0.3,0.24,0.44377777777777777,0.83,99.41
2020-08-09,Assam,1493,5,1493,18997,2992,2327,7.86,0,36.0,170973,1415,169981,8.31,6.46,0.5276944444444445,0.83,99.42
2020-08-10,Assam,390,5,381,5150,2738,38,7.57,4,36.0,171363,1420,170362,7.61,0.11,0.14305555555555555,0.83,99.42
2020-08-11,Assam,1523,14,1514,19312,4957,206,7.89,0,36.0,172886,1434,171876,13.77,0.57,0.5364444444444444,0.83,99.42
2020-08-12,Assam,1452,16,1450,17968,1182,1010,8.08,0,36.0,174338,1450,173326,3.28,2.81,0.4991111111111111,0.83,99.42
2020-08-13,Assam,1005,5,1005,12794,2374,2027,7.86,0,36.0,175343,1455,174331,6.59,5.63,0.35538888888888887,0.83,99.42
2020-08-14,Assam,1388,8,1385,17223,3682,2143,8.06,0,36.0,176731,1463,175716,10.23,5.95,0.47841666666666666,0.83,99.43
2020-08-15,Assam,533,7,532,6624,4610,3949,8.05,0,36.0,177264,1470,176248,12.81,10.97,0.184,0.83,99.43
2020-08-16,Assam,939,6,938,11890,1054,678,7.9,0,36.0,178203,1476,177186,2.93,1.88,0.3302777777777778,0.83,99.43
2020-08-17,Assam,1143,16,1135,14614,2642,2384,7.82,0,36.0,179346,1492,178321,7.34,6.62,0.40594444444444444,0.83,99.43
2020-08-18,Assam,1060,9,1055,13562,495,301,7.82,0,36.0,180406,1501,179376,1.38,0.84,0.37672222222222224,0.83,99.43
2020-08-19,Assam,515,4,506,6288,158,56,8.19,5,36.0,180921,1505,179882,0.44,0.16,0.17466666666666666,0.83,99.43
2020-08-20,Assam,301,1,299,3858,1349,1312,7.8,1,36.0,181222,1506,180181,3.75,3.64,0.10716666666666666,0.83,99.43
2020-08-21,Assam,1278,6,1273,15864,4022,3749,8.06,0,36.0,182500,1512,181454,11.17,10.41,0.44066666666666665,0.83,99.43
2020-08-22,Assam,47,0,44,786,4351,3483,5.98,3,36.0,182547,1512,181498,12.09,9.68,0.021833333333333333,0.83,99.43
2020-08-23,Assam,190,1,186,2386,306,286,7.96,3,36.0,182737,1513,181684,0.85,0.79,0.06627777777777778,0.83,99.42
2020-08-24,Assam,685,6,677,8150,384,61,8.4,2,36.0,183422,1519,182361,1.07,0.17,0.2263888888888889,0.83,99.42
2020-08-25,Assam,298,2,297,3964,3231,2646,7.52,0,36.0,183720,1521,182658,8.98,7.35,0.11011111111111112,0.83,99.42
2020-08-26,Assam,724,5,723,9069,3899,418,7.98,0,36.0,184444,1526,183381,10.83,1.16,0.2519166666666667,0.83,99.42
2020-08-27,Assam,77,0,77,1011,2150,209,7.62,0,36.0,184521,1526,183458,5.97,0.58,0.02808333333333333,0.83,99.42
2020-08-28,Assam,741,6,734,8966,4564,489,8.26,1,36.0,185262,1532,184192,12.68,1.36,0.24905555555555556,0.83,99.42
2020-08-29,Assam,783,3,783,9831,2398,480,7.96,0,36.0,186045,1535,184975,6.66,1.33,0.27308333333333334,0.83,99.42
2020-08-30,Assam,126,0,119,1651,2198,1592,7.63,7,36.0,186171,1535,185094,6.11,4.42,0.04586111111111111,0.82,99.42
2020-08-31,Assam,1065,15,1062,13337,682,325,7.99,0,36.0,187236,1550,186156,1.89,0.9,0.3704722222222222,0.83,99.42
2020-09-01,Assam,1265,8,1258,15706,1952,1451,8.05,0,36.0,188501,1558,187414,5.42,4.03,0.43627777777777776,0.83,99.42
2020-09-02,Assam,251,2,251,2805,2234,2025,8.95,0,36.0,188752,1560,187665,6.21,5.62,0.07791666666666666,0.83,99.42
2020-09-03,Assam,368,3,361,4964,3818,1606,7.41,4,36.0,189120,1563,188026,10.61,4.46,0.1378888888888889,0.83,99.42
2020-09-04,Assam,260,1,251,3255,2099,504,7.99,8,36.0,189380,1564,188277,5.83,1.4,0.09041666666666667,0.83,99.42
2020-09-05,Assam,394,3,390,5082,207,85,7.75,1,36.0,189774,1567,188667,0.57,0.24,0.14116666666666666,0.83,99.42
2020-09-06,Assam,1463,4,1458,18414,709,349,7.95,1,36.0,191237,1571,190125,1.97,0.97,0.5115,0.82,99.42
2020-09-07,Assam,70,0,62,1180,3950,252,5.93,8,36.0,191307,1571,190187,10.97,0.7,0.03277777777777778,0.82,99.41
2020-09-08,Assam,241,3,239,2953,1577,939,8.16,0,36.0,191548,1574,190426,4.38,2.61,0.08202777777777778,0.82,99.41
2020-09-09,Assam,47,0,46,513,1962,1101,9.16,1,36.0,191595,1574,190472,5.45,3.06,0.01425,0.82,99.41
2020-09-10,Assam,361,3,353,4189,3743,267,8.62,5,36.0,191956,1577,190825,10.4,0.74,0.11636111111111111,0.82,99.41
2020-09-11,Assam,33,0,29,662,3821,3422,4.98,4,36.0,191989,1577,190854,10.61,9.51,0.01838888888888889,0.82,99.41
2020-09-12,Assam,876,4,870,11357,1836,160,7.71,2,36.0,192865,1581,191724,5.1,0.44,0.3154722222222222,0.82,99.41
2020-09-13,Assam,1439,5,1432,17921,3724,2458,8.03,2,36.0,194304,1586,193156,10.34,6.83,0.49780555555555556,0.82,99.41
2020-09-14,Assam,976,5,971,12261,424,32,7.96,0,36.0,195280,1591,194127,1.18,0.09,0.34058333333333335,0.81,99.41
2020-09-15,Assam,1334,7,1327,16814,3538,1077,7.93,0,36.0,196614,1598,195454,9.83,2.99,0.46705555555555556,0.81,99.41
2020-09-16,Assam,843,11,834,10687,4930,3771,7.89,0,36.0,197457,1609,196288,13.69,10.48,0.29686111111111113,0.81,99.41
2020-09-17,Assam,308,3,300,3730,3351,2693,8.26,5,36.0,197765,1612,196588,9.31,7.48,0.10361111111111111,0.82,99.4
2020-09-18,Assam,1396,5,1393,17442,3140,3005,8.0,0,36.0,199161,1617,197981,8.72,8.35,0.4845,0.81,99.41
2020-09-19,Assam,677,4,674,8777,1621,865,7.71,0,36.0,199838,1621,198655,4.5,2.4,0.24380555555555555,0.81,99.41
2020-09-20,Assam,1451,8,1447,17817,634,144,8.14,0,36.0,201289,1629,200102,1.76,0.4,0.49491666666666667,0.81,99.41
2020-09-21,Assam,1225,18,1224,15436,3127,1257,7.94,0,36.0,202514,1647,201326,8.69,3.49,0.42877777777777776,0.81,99.41
2020-09-22,Assam,369,1,366,4698,3470,323,7.85,2,36.0,202883,1648,201692,9.64,0.9,0.1305,0.81,99.41
2020-09-23,Assam,1230,4,1227,15119,4953,2219,8.14,0,36.0,204113,1652,202919,13.76,6.16,0.41997222222222225,0.81,99.42
2020-09-24,Assam,116,0,111,1410,396,228,8.23,5,36.0,204229,1652,203030,1.1,0.63,0.03916666666666667,0.81,99.41
2020-09-25,Assam,1091,4,1084,13845,4685,4526,7.88,3,36.0,205320,1656,204114,13.01,12.57,0.38458333333333333,0.81,99.41
2020-09-26,Assam,1219,8,1219,14894,160,87,8.18,0,36.0,206539,1664,205333,0.44,0.24,0.4137222222222222,0.81,99.42
2020-09-27,Assam,1215,15,1207,15189,853,802,8.0,0,36.0,207754,1679,206540,2.37,2.23,0.42191666666666666,0.81,99.42
2020-09-28,Assam,1186,4,1179,14249,4970,719,8.32,3,36.0,208940,1683,207719,13.81,2.0,0.3958055555555556,0.81,99.42
2020-09-29,Assam,514,4,507,6624,2167,913,7.76,3,36.0,209454,1687,208226,6.02,2.54,0.184,0.81,99.41
2020-09-30,Assam,938,4,932,11865,3450,2384,7.91,2,36.0,210392,1691,209158,9.58,6.62,0.32958333333333334,0.8,99.41
2020-10-01,Assam,204,1,195,2813,177,138,7.25,8,36.0,210596,1692,209353,0.49,0.38,0.07813888888888888,0.8,99.41
